idx,naziv,oznaka
0,Ia - elektrotehničari,Ia
1,Ib - tehničari za mehatroniku,Ib
2,Ic - tehničari za mehatroniku,Ic
3,Id - farmaceutski tehničari,Id
4,Ie - ekonomisti,Ie
5,If - ekonomisti,If
6,Ig - tehničari za logistiku i špediciju,Ig
7,Ih - tehničari za logistiku i špediciju,Ih
8,Ii - automehaničari,Ii
9,Ij - konobari,Ij
10,IIa - elektrotehničari,IIa
11,IIb - tehničari za mehatroniku,IIb
12,IIc - farmaceutski tehničari,IIc
13,IId - ekonomisti,IId
14,IIe - ekonomisti,IIe
15,IIf - komercijalisti,IIf
16,IIg - CNC operateri,IIg
17,IIh - CNC operateri,IIh
18,IIi - frizeri,IIi
19,IIIa - tehničari za mehatroniku,IIIa
20,IIIb - računalni tehničari za strojarstvo,IIIb
21,IIIc - ekonomisti,IIIc
22,IIId - ekonomisti,IIId
23,IIIe - tehničari cestovnog prometa,IIIe
24,IIIf - elektroinstalateri,IIIf
25,IIIg - frizeri,IIIg
26,IVa - tehničari za mehatroniku,IVa
27,IVb - računalni tehničari za strojarstvo,IVb
28,IVc - ekonomisti,IVc
29,IVd - komercijalisti,IVd
30,IjO,IjO
31,IIfO,IIfO
32,IIgO,IIgO
33,IIhO,IIhO
34,IIiO,IIiO
35,IVdO,IVdO
